text,sentiment
"effective, makes browsing smoother than a vr6 motor.
",1
"worked really great and made different sites load slightly faster
",1
"i've only had this for a little while and i download a lot of items from websites that have ads for false download buttons and make it feel like i was defusing a bomb. i love it and no youtube or facebook ads!
",1
"it was great but recently stopped working. update maybe?
",0
"best ad blocker out there right now no other completion insight hopefully they launch adblocker plus for the mobile chrome
",1
"completely impressed. this app works at its best.
",1
"can not delete it or uninstall it

permissions  options details warning:
this extension failed to modify the response header ""content-security-policy"" of a network request because the modification conflicted with another extension (adblock plus).
id: cfhdojbkjhnklbpkdaibdccddilifddb
(this extension is managed and cannot be removed or disabled.)
inspect views: background page
",0
"love it save my data and unwanted add
",1
"blocks even the nastiest pop-ups, but doesn't interfere with site interaction. even seems like it speeds up streaming by keeping all the side ads, videos and pop-ups from slowing down computer. awesome extension! i would pay for it.
",1
"works good, but now let's youtube ads load now. please fix.
",0
"justin.tv does not play any videos with this extension installed. it used to work until yesterday. looks like justin.tv advertisements are blocked by adblock, can we remove justin.tv from the list.
",0
"easy to use, very user friendly. the only complaint to be had from me is the software sometimes times out before it can make a connection, causing the vpn to be shut down while running internet operations as you normally would. if you are not paying attention to the connection status every once in a while, you could be off vpn and not know it. but overall excellent vpn, i will continue to refer people to this product!
",1
"it does everything asked of it plus some . awsome
",1
"don't have much to say, it's awesome!
",1
"working as expected, with out any hiccups...
",1
"no longer works properly on all sites. especially youtube. used to be great, now it is pointless.
",0
"best thing ever made!! i cannot belive that i lived without adblock for so long - wish i could tell the hole world. congrats for this amazing software and thank you from the bottom of my heart! thank you!!!!
",1
"just wanna say thank you for the creator of this ad blocker
",1
"i've been using adblock plus for years.  suddenly my chrome browsers just hang and won't load anything.  have to kill and restart it constantly.  disabled abp and it works fine now. 

please fix fast!!!
",0
"i have been using this extension for years and it works.
",1
"doesn't seem to be working anymore.
",0
"used to love adblock, it was perfect. since a couple of weeks (as far as i know) they are accepting payment from google to allow (ie not block)  ""ad related to"" at the top of google search results. there is no indication whatsoever where sponsored search results end and genuine search results begin. my biggest gripe in months and a waste of good time, since sponsored links usually aren't what i am looking for.

if an adblock alternative stops bye i will start using it.
",0
"great ad blocker that is not selling my information
",1
"excellent, does what it is meant to and does it amazingly well.

update: not as effective as it used to be anymore. i see several adds now.

update 2: once again back on track, solid 5 star app. can't imagine surfing without it!
",1
"best ad blocker. totally recommend it.
",1
"i just installed now, lets see how much it helps from annoying ads.
",1
"so now they added adds, so ublock and umatrix have a bigger purpose now. greed gg
",0
"looks like they have removed the incognito mode support. hated that part.
",0
"it's a very good extension, especially if you're easily annoyed by ads and/or want to avoid getting adware on your device. the only problem is that some ads these days are getting past adblock plus, so i'm gonna rate it a 4/5 for now.
",0
"i think this plugin is the best ad blocker!
",1
"great software for blocking adverts i give it a 10/10 even though it may not block twitch adverts (because amazon is greedy) it has blocked over 5000 ads in the last 2 weeks
",1
"not working at all since oct. 25
",0
"my anti virus tech referred me to this app.  thanks, tech guy!!!
",1
"just wanted to say... wow. this is like time-travelling back 10 years when ads were here and there. unlike today where you have to work through an obsticle course just to read something. sheesh!
",1
"it doesn't block nearly as many ads as adblock did, but this one works with rockmelt :/
",0
"why after update the chrome browser to version 32.0.1700.107 m the extension is no effect to  the ads
",0
"been using abp for a while, but seems to be blocking less ads over time.
",0
"it always reverts to basic and lets ad's through. i find i have to re-install it over and over to get it to work. and thats only for a short time.
",0
"thank you for taking the time to write us this review, arnav!
",1
"it work perfect for me, it block many ads i don't want to see and it is free.
",1
"but why in my chrome still have and advert?
",0
"i am very grateful for your extension and i hope that i will somehow encourage your work in the future
",1
"hi abdul a! 

thanks for letting us know! are you still having this issue? if so, please send us an email at support@adblockplus.org so that we can troubleshoot with you. we look forward to your follow up! 

thanks
shannon 
abp support team
",0
"sidebar ads and youtube video ads are coming through all the time now. 

what is the point of this extension if it cannot block any advertising.
",0
"i love it.  thanks so much for this app.
",1
"we're glad to hear you like adblock plus, dixit! if you need anything or have any suggestions for us, be sure to stop by our forums and say hi. we are always happy to help :) https://adblockplus.org/forum/index.php
",1
"does its job well. to make sure your blocking out all ads go to settings and make sure ""allow acceptable ads"" is off.
",1
"there are a lot of sites that wont let you browse with this enabled, therefore defeating the point of having it installed
",0
"wow thanks for supporting us for so long, dipen! if you need anything be sure to stop by our forums and say hi. we are always happy to help :) https://adblockplus.org/forum/index.php
",1
"it does it's job and does it well. i do have some issues with sites which will block access if this is on, but that isn't an issue that can be fixed by this extension. and while it does miss a few ads every once in a while, it has been reliable and makes browsing the internet much better.
",1
